videoId,raceId,focusDriverId,category,title,publishDatetime,durationSeconds,views,likes,comments,avgViewPct,engagement_rate,total_watch_time_hours,season,country,driverId,teamId,position,points,status,content_period
5022,202303.0,4.0,driver-focus,Elodie Marchand: the story so far,2023-04-03 13:38:49,945,36606.0,1021.0,106.0,44.6,3.08,4286.0,2023.0,Japan,4.0,2.0,2.0,18.0,Finished,Race Season
5023,202303.0,21.0,driver-focus,Casper Holm: the story so far,2023-04-03 16:11:27,1470,22718.0,990.0,35.0,46.5,4.51,4314.0,2023.0,Japan,21.0,2.0,5.0,10.0,Finished,Race Season
5024,202303.0,10.0,driver-focus,Petr Kovalenko: the story so far,2023-04-03 18:04:38,1155,34516.0,1556.0,140.0,53.4,4.91,5913.0,2023.0,Japan,10.0,5.0,10.0,1.0,Finished,Race Season
5025,202303.0,-1.0,tech-analysis,How the cars evolved for Sakura Grand Prix 2023,2023-04-04 17:35:10,1320,14764.0,716.0,39.0,40.7,5.11,2203.0,2023.0,Japan,,,,,,Race Season
5026,202303.0,-1.0,race-recap,Sakura Grand Prix 2023 race highlights and analysis,2023-04-08 08:27:34,1095,100785.0,4317.0,312.0,46.8,4.59,14347.0,2023.0,Japan,,,,,,Race Season
5027,202304.0,-1.0,qualifying-report,Redstone Grand Prix 2023 qualifying report,2023-04-13 02:59:09,1485,19966.0,965.0,35.0,47.4,5.01,3904.0,2023.0,United States,,,,,,Race Season
5028,202304.0,-1.0,race-recap,Redstone Grand Prix 2023 race highlights and analysis,2023-04-15 04:56:42,525,87634.0,3250.0,296.0,66.8,4.05,8537.0,2023.0,United States,,,,,,Race Season
5029,202304.0,4.0,driver-focus,Elodie Marchand: the story so far,2023-04-16 10:08:46,1410,37833.0,1441.0,94.0,46.3,4.06,6861.0,2023.0,United States,4.0,2.0,12.0,0.0,Finished,Race Season
5030,202305.0,-1.0,qualifying-report,Lago Bianco Grand Prix 2023 qualifying report,2023-04-26 01:21:56,735,44781.0,2013.0,170.0,46.8,4.87,4279.0,2023.0,Italy,,,,,,Race Season
5031,202305.0,12.0,driver-focus,Wei Tan: the story so far,2023-04-27 18:52:20,1065,38402.0,1432.0,139.0,46.5,4.09,5283.0,2023.0,Italy,12.0,6.0,3.0,15.0,Finished,Race Season
5032,202305.0,1.0,driver-focus,Kasper Renn: the story so far,2023-04-28 23:04:23,1395,18867.0,900.0,53.0,37.9,5.05,2771.0,2023.0,Italy,1.0,1.0,1.0,25.0,Finished,Race Season
5033,202305.0,-1.0,tech-analysis,How the cars evolved for Lago Bianco Grand Prix 2023,2023-04-30 01:52:49,1065,21787.0,885.0,79.0,45.6,4.42,2939.0,2023.0,Italy,,,,,,Race Season
5034,202305.0,-1.0,race-recap,Lago Bianco Grand Prix 2023 race highlights and analysis,2023-05-03 17:18:49,1275,49824.0,2004.0,160.0,45.2,4.34,7976.0,2023.0,Italy,,,,,,Race Season
5035,202306.0,2.0,driver-focus,Mateo Vidal: the story so far,2023-05-12 05:58:43,480,29495.0,1152.0,103.0,39.3,4.25,1546.0,2023.0,Germany,2.0,1.0,3.0,15.0,Finished,Race Season
5036,202306.0,2.0,driver-focus,Mateo Vidal: the story so far,2023-05-12 23:21:07,870,36852.0,1329.0,57.0,52.2,3.76,4649.0,2023.0,Germany,2.0,1.0,3.0,15.0,Finished,Race Season
5037,202306.0,-1.0,tech-analysis,How the cars evolved for Nordbahn Grand Prix 2023,2023-05-13 06:56:33,1110,21138.0,930.0,68.0,45.2,4.72,2946.0,2023.0,Germany,,,,,,Race Season
5038,202306.0,-1.0,race-recap,Nordbahn Grand Prix 2023 race highlights and analysis,2023-05-14 05:35:10,1320,47901.0,1986.0,124.0,50.7,4.4,8905.0,2023.0,Germany,,,,,,Race Season
5039,202307.0,2.0,driver-focus,Mateo Vidal: the story so far,2023-05-23 06:23:48,570,34220.0,1277.0,80.0,49.7,3.97,2693.0,2023.0,Australia,2.0,1.0,1.0,25.0,Finished,Race Season
5040,202307.0,-1.0,race-recap,Harbourside Grand Prix 2023 race highlights and analysis,2023-05-23 07:18:05,870,27501.0,1106.0,95.0,58.4,4.37,3881.0,2023.0,Australia,,,,,,Race Season
5041,202307.0,14.0,driver-focus,Joao Ferreira: the story so far,2023-05-23 14:04:42,990,49236.0,2073.0,158.0,49.3,4.53,6675.0,2023.0,Australia,14.0,7.0,7.0,6.0,Finished,Race Season
5042,202307.0,-1.0,tech-analysis,How the cars evolved for Harbourside Grand Prix 2023,2023-05-24 15:13:29,1275,30940.0,1394.0,111.0,51.6,4.86,5654.0,2023.0,Australia,,,,,,Race Season
5043,202307.0,2.0,driver-focus,Mateo Vidal: the story so far,2023-05-26 02:51:55,1410,49816.0,1537.0,179.0,53.4,3.44,10419.0,2023.0,Australia,2.0,1.0,1.0,25.0,Finished,Race Season
5044,202308.0,-1.0,qualifying-report,Vallee Verte Grand Prix 2023 qualifying report,2023-06-04 09:50:32,1020,29971.0,895.0,120.0,50.3,3.39,4271.0,2023.0,France,,,,,,Race Season
5045,202308.0,20.0,driver-focus,Lukas Steiner: the story so far,2023-06-06 06:38:45,1350,45371.0,1840.0,170.0,53.4,4.43,9086.0,2023.0,France,20.0,10.0,7.0,6.0,Finished,Race Season
5046,202308.0,20.0,driver-focus,Lukas Steiner: the story so far,2023-06-06 07:39:01,555,42468.0,1703.0,135.0,35.6,4.33,2331.0,2023.0,France,20.0,10.0,7.0,6.0,Finished,Race Season
5047,202308.0,4.0,driver-focus,Elodie Marchand: the story so far,2023-06-08 01:25:23,705,35664.0,1346.0,148.0,47.7,4.19,3331.0,2023.0,France,4.0,2.0,-1.0,0.0,Engine,Race Season
5048,202308.0,-1.0,race-recap,Vallee Verte Grand Prix 2023 race highlights and analysis,2023-06-09 12:49:21,840,66529.0,3598.0,147.0,53.4,5.63,8290.0,2023.0,France,,,,,,Race Season
5049,202309.0,-1.0,qualifying-report,Aurora Grand Prix 2023 qualifying report,2023-06-17 03:31:56,945,30344.0,986.0,92.0,46.6,3.55,3712.0,2023.0,Canada,,,,,,Race Season
5050,202309.0,20.0,driver-focus,Lukas Steiner: the story so far,2023-06-19 21:19:23,840,33873.0,1393.0,84.0,47.7,4.36,3770.0,2023.0,Canada,20.0,10.0,3.0,15.0,Finished,Race Season
5051,202309.0,14.0,driver-focus,Joao Ferreira: the story so far,2023-06-21 11:09:41,1365,30188.0,1169.0,102.0,52.9,4.21,6055.0,2023.0,Canada,14.0,7.0,15.0,0.0,Finished,Race Season
5052,202309.0,-1.0,tech-analysis,How the cars evolved for Aurora Grand Prix 2023,2023-06-21 18:51:56,705,22903.0,920.0,116.0,43.8,4.52,1965.0,2023.0,Canada,,,,,,Race Season
5053,202309.0,-1.0,race-recap,Aurora Grand Prix 2023 race highlights and analysis,2023-06-22 16:59:33,720,68879.0,2465.0,193.0,51.6,3.86,7108.0,2023.0,Canada,,,,,,Race Season
5054,202310.0,-1.0,qualifying-report,Al Dhafra Grand Prix 2023 qualifying report,2023-06-30 10:26:30,990,30166.0,1224.0,126.0,49.1,4.48,4073.0,2023.0,United Arab Emirates,,,,,,Race Season
5055,202310.0,14.0,driver-focus,Joao Ferreira: the story so far,2023-07-02 04:52:50,1425,39561.0,1190.0,119.0,56.8,3.31,8895.0,2023.0,United Arab Emirates,14.0,7.0,4.0,12.0,Finished,Race Season
5056,202310.0,-1.0,race-recap,Al Dhafra Grand Prix 2023 race highlights and analysis,2023-07-04 02:46:17,1080,35126.0,1614.0,78.0,37.7,4.82,3973.0,2023.0,United Arab Emirates,,,,,,Race Season
5057,202311.0,-1.0,qualifying-report,Tafelberg Grand Prix 2023 qualifying report,2023-07-13 00:23:55,1395,33599.0,1409.0,56.0,50.2,4.36,6536.0,2023.0,South Africa,,,,,,Race Season
5058,202311.0,14.0,driver-focus,Joao Ferreira: the story so far,2023-07-14 22:00:15,1050,33556.0,1042.0,140.0,49.7,3.52,4864.0,2023.0,South Africa,14.0,7.0,19.0,0.0,Finished,Race Season
5059,202311.0,2.0,driver-focus,Mateo Vidal: the story so far,2023-07-14 22:21:06,1050,65733.0,2202.0,189.0,51.1,3.64,9797.0,2023.0,South Africa,2.0,1.0,2.0,18.0,Finished,Race Season
5060,202311.0,-1.0,race-recap,Tafelberg Grand Prix 2023 race highlights and analysis,2023-07-15 12:09:57,1425,62455.0,2633.0,196.0,49.1,4.53,12138.0,2023.0,South Africa,,,,,,Race Season
5061,202312.0,-1.0,qualifying-report,Serra Dourada Grand Prix 2023 qualifying report,2023-07-26 05:33:50,780,35813.0,1565.0,120.0,47.6,4.7,3694.0,2023.0,Brazil,,,,,,Race Season
5062,202312.0,1.0,driver-focus,Kasper Renn: the story so far,2023-07-28 09:25:59,840,32478.0,1383.0,93.0,39.4,4.54,2986.0,2023.0,Brazil,1.0,1.0,1.0,25.0,Finished,Race Season
5063,202312.0,1.0,driver-focus,Kasper Renn: the story so far,2023-07-29 02:33:15,1125,25818.0,979.0,88.0,43.4,4.13,3502.0,2023.0,Brazil,1.0,1.0,1.0,25.0,Finished,Race Season
5064,202312.0,-1.0,tech-analysis,How the cars evolved for Serra Dourada Grand Prix 2023,2023-07-30 08:20:10,540,39771.0,1519.0,92.0,48.9,4.05,2917.0,2023.0,Brazil,,,,,,Race Season
5065,202312.0,-1.0,race-recap,Serra Dourada Grand Prix 2023 race highlights and analysis,2023-07-30 09:15:19,555,45384.0,1941.0,109.0,54.4,4.52,3806.0,2023.0,Brazil,,,,,,Race Season
5066,202312.0,6.0,driver-focus,Willem Lindqvist: the story so far,2023-07-30 11:33:56,1485,26956.0,1262.0,100.0,43.5,5.05,4837.0,2023.0,Brazil,6.0,3.0,4.0,12.0,Finished,Race Season
5067,202313.0,-1.0,qualifying-report,Baltica Grand Prix 2023 qualifying report,2023-08-08 04:57:28,495,31244.0,1306.0,112.0,55.4,4.54,2380.0,2023.0,Poland,,,,,,Race Season
5068,202313.0,-1.0,race-recap,Baltica Grand Prix 2023 race highlights and analysis,2023-08-10 14:02:41,1020,71251.0,3236.0,227.0,47.9,4.86,9670.0,2023.0,Poland,,,,,,Race Season
5069,202313.0,21.0,driver-focus,Casper Holm: the story so far,2023-08-12 10:07:09,570,49524.0,2121.0,62.0,47.7,4.41,3740.0,2023.0,Poland,21.0,2.0,17.0,0.0,Finished,Race Season
5070,202314.0,-1.0,qualifying-report,Marina Bay East Grand Prix 2023 qualifying report,2023-08-20 20:00:58,675,38749.0,1417.0,99.0,51.5,3.91,3742.0,2023.0,Singapore,,,,,,Race Season
5071,202314.0,-1.0,race-recap,Marina Bay East Grand Prix 2023 race highlights and analysis,2023-08-23 15:55:07,1110,65112.0,2773.0,300.0,43.0,4.72,8633.0,2023.0,Singapore,,,,,,Race Season
5072,202314.0,14.0,driver-focus,Joao Ferreira: the story so far,2023-08-25 06:40:51,855,43948.0,1770.0,136.0,40.1,4.34,4185.0,2023.0,Singapore,14.0,7.0,7.0,6.0,Finished,Race Season
5073,202315.0,-1.0,qualifying-report,Highlands Grand Prix 2023 qualifying report,2023-09-03 03:21:36,765,46902.0,2192.0,159.0,57.9,5.01,5771.0,2023.0,Netherlands,,,,,,Race Season
5074,202315.0,1.0,driver-focus,Kasper Renn: the story so far,2023-09-05 12:49:14,540,23440.0,1123.0,54.0,41.8,5.02,1470.0,2023.0,Netherlands,1.0,1.0,1.0,25.0,Finished,Race Season
5075,202315.0,-1.0,race-recap,Highlands Grand Prix 2023 race highlights and analysis,2023-09-05 13:39:11,1005,119592.0,4669.0,472.0,50.2,4.3,16760.0,2023.0,Netherlands,,,,,,Race Season
5076,202316.0,-1.0,qualifying-report,Sierra Nevada Grand Prix 2023 qualifying report,2023-09-16 10:52:57,945,28204.0,1261.0,87.0,51.4,4.78,3805.0,2023.0,Mexico,,,,,,Race Season
5077,202316.0,1.0,driver-focus,Kasper Renn: the story so far,2023-09-18 18:21:11,1260,25160.0,1131.0,97.0,44.1,4.88,3883.0,2023.0,Mexico,1.0,1.0,1.0,25.0,Finished,Race Season
5078,202316.0,2.0,driver-focus,Mateo Vidal: the story so far,2023-09-18 21:05:43,1425,43140.0,2082.0,102.0,42.3,5.06,7223.0,2023.0,Mexico,2.0,1.0,-1.0,0.0,Suspension,Race Season
5079,202316.0,-1.0,race-recap,Sierra Nevada Grand Prix 2023 race highlights and analysis,2023-09-19 04:08:39,1470,59761.0,2075.0,160.0,51.1,3.74,12470.0,2023.0,Mexico,,,,,,Race Season
5080,202317.0,-1.0,qualifying-report,Danube Grand Prix 2023 qualifying report,2023-09-29 09:50:26,660,28180.0,1215.0,30.0,47.7,4.42,2464.0,2023.0,Hungary,,,,,,Race Season
5081,202317.0,8.0,driver-focus,Rhys Duffy: the story so far,2023-10-01 09:32:19,720,46546.0,1570.0,143.0,46.4,3.68,4319.0,2023.0,Hungary,8.0,4.0,12.0,0.0,Finished,Race Season
5082,202317.0,-1.0,race-recap,Danube Grand Prix 2023 race highlights and analysis,2023-10-01 14:48:21,1455,52696.0,2516.0,205.0,44.9,5.16,9563.0,2023.0,Hungary,,,,,,Race Season
5083,202317.0,4.0,driver-focus,Elodie Marchand: the story so far,2023-10-03 04:59:28,495,40323.0,1848.0,157.0,44.1,4.97,2445.0,2023.0,Hungary,4.0,2.0,5.0,10.0,Finished,Race Season
5084,202318.0,2.0,driver-focus,Mateo Vidal: the story so far,2023-10-15 02:20:52,675,48055.0,1933.0,162.0,44.9,4.36,4046.0,2023.0,Norway,2.0,1.0,3.0,15.0,Finished,Race Season
5085,202318.0,-1.0,race-recap,Fjordland Grand Prix 2023 race highlights and analysis,2023-10-16 19:10:30,915,62922.0,2118.0,109.0,44.2,3.54,7069.0,2023.0,Norway,,,,,,Race Season
5086,202319.0,-1.0,qualifying-report,Atlas Grand Prix 2023 qualifying report,2023-10-25 00:27:22,585,39265.0,1504.0,156.0,44.8,4.23,2858.0,2023.0,Morocco,,,,,,Race Season
5087,202319.0,21.0,driver-focus,Casper Holm: the story so far,2023-10-26 16:45:34,1035,56153.0,2178.0,104.0,36.6,4.06,5909.0,2023.0,Morocco,21.0,2.0,5.0,10.0,Finished,Race Season
5088,202319.0,6.0,driver-focus,Willem Lindqvist: the story so far,2023-10-26 17:43:23,510,47466.0,1745.0,150.0,41.6,3.99,2797.0,2023.0,Morocco,6.0,3.0,7.0,6.0,Finished,Race Season
5089,202319.0,-1.0,race-recap,Atlas Grand Prix 2023 race highlights and analysis,2023-10-29 12:08:57,990,37851.0,1314.0,120.0,41.4,3.79,4309.0,2023.0,Morocco,,,,,,Race Season
5090,202319.0,-1.0,tech-analysis,How the cars evolved for Atlas Grand Prix 2023,2023-10-30 08:56:30,570,29035.0,1106.0,100.0,49.5,4.15,2276.0,2023.0,Morocco,,,,,,Race Season
5091,202320.0,21.0,driver-focus,Casper Holm: the story so far,2023-11-09 05:39:00,750,36033.0,1649.0,113.0,55.2,4.89,4144.0,2023.0,Ireland,21.0,2.0,13.0,0.0,Finished,Race Season
5092,202320.0,8.0,driver-focus,Rhys Duffy: the story so far,2023-11-09 07:20:03,1065,57161.0,2434.0,55.0,51.1,4.35,8641.0,2023.0,Ireland,8.0,4.0,16.0,0.0,Finished,Race Season
5093,202320.0,-1.0,race-recap,Emerald Grand Prix 2023 race highlights and analysis,2023-11-10 16:03:49,1410,68525.0,2841.0,237.0,51.2,4.49,13742.0,2023.0,Ireland,,,,,,Race Season
5094,202321.0,-1.0,qualifying-report,Golden Gate Grand Prix 2023 qualifying report,2023-11-20 11:17:23,765,53414.0,2487.0,124.0,49.5,4.89,5618.0,2023.0,United States,,,,,,Race Season
5095,202321.0,12.0,driver-focus,Wei Tan: the story so far,2023-11-22 10:28:35,495,61884.0,2879.0,215.0,48.3,5.0,4110.0,2023.0,United States,12.0,6.0,11.0,0.0,Finished,Race Season
5096,202321.0,8.0,driver-focus,Rhys Duffy: the story so far,2023-11-23 19:37:41,810,51815.0,1896.0,207.0,49.2,4.06,5736.0,2023.0,United States,8.0,4.0,10.0,1.0,Finished,Race Season
5097,202321.0,-1.0,tech-analysis,How the cars evolved for Golden Gate Grand Prix 2023,2023-11-24 11:12:09,1125,34749.0,1672.0,113.0,43.4,5.14,4713.0,2023.0,United States,,,,,,Race Season
5098,202321.0,-1.0,race-recap,Golden Gate Grand Prix 2023 race highlights and analysis,2023-11-24 20:47:50,1455,63663.0,1837.0,178.0,54.5,3.17,14023.0,2023.0,United States,,,,,,Race Season
5099,202322.0,-1.0,qualifying-report,Apex City Grand Prix 2023 qualifying report,2023-12-02 23:22:48,780,34378.0,1250.0,113.0,44.6,3.96,3322.0,2023.0,United Arab Emirates,,,,,,Race Season
5100,202322.0,21.0,driver-focus,Casper Holm: the story so far,2023-12-05 14:39:30,960,67998.0,3673.0,144.0,50.1,5.61,9085.0,2023.0,United Arab Emirates,21.0,2.0,1.0,25.0,Finished,Race Season
5101,202322.0,-1.0,race-recap,Apex City Grand Prix 2023 race highlights and analysis,2023-12-06 20:28:47,1155,92326.0,3795.0,372.0,60.2,4.51,17832.0,2023.0,United Arab Emirates,,,,,,Race Season
5102,202322.0,1.0,driver-focus,Kasper Renn: the story so far,2023-12-07 03:27:48,765,30421.0,1519.0,128.0,41.6,5.41,2689.0,2023.0,United Arab Emirates,1.0,1.0,7.0,6.0,Finished,Race Season
5103,,-1.0,off-season,Rule changes explained | 2024,2024-01-04 17:00:00,840,15508.0,542.0,61.0,49.8,3.89,1802.0,2024.0,,,,,,,Off-Season
5104,,-1.0,off-season,Technical regulations deep dive | 2024,2024-01-05 18:00:00,1230,24309.0,960.0,67.0,55.6,4.22,4618.0,2024.0,,,,,,,Off-Season
5105,,-1.0,off-season,Drivers to watch | 2024,2024-01-08 17:00:00,1050,31346.0,1434.0,65.0,50.6,4.78,4626.0,2024.0,,,,,,,Off-Season
5106,,-1.0,off-season,Season preview | 2024,2024-01-11 17:00:00,645,25940.0,809.0,59.0,44.8,3.35,2082.0,2024.0,,,,,,,Off-Season
5107,,-1.0,off-season,Engine suppliers explained | 2024,2024-01-15 17:00:00,1395,27807.0,1267.0,60.0,49.5,4.77,5334.0,2024.0,,,,,,,Off-Season
5108,,-1.0,off-season,Pre-season testing analysis | 2024,2024-02-11 18:00:00,735,18800.0,597.0,57.0,54.9,3.48,2107.0,2024.0,,,,,,,Off-Season
5109,,-1.0,off-season,Calendar guide | 2024,2024-02-16 16:00:00,855,24273.0,762.0,84.0,41.4,3.49,2387.0,2024.0,,,,,,,Off-Season
5110,,-1.0,off-season,Team launch roundup | 2024,2024-02-24 18:00:00,975,19594.0,611.0,59.0,48.3,3.42,2563.0,2024.0,,,,,,,Off-Season
5111,,-1.0,off-season,Fantasy league launch | 2024,2024-02-24 18:00:00,1470,23121.0,1144.0,63.0,49.3,5.22,4654.0,2024.0,,,,,,,Off-Season
5112,,-1.0,off-season,Predictions show | 2024,2024-02-26 17:00:00,555,39645.0,1946.0,198.0,48.4,5.41,2958.0,2024.0,,,,,,,Off-Season
5113,202401.0,-1.0,race-recap,Silverpine Grand Prix 2024 race highlights and analysis,2024-03-11 00:40:22,1185,171963.0,6981.0,737.0,56.2,4.49,31812.0,2024.0,United Kingdom,,,,,,Race Season
5114,202401.0,4.0,driver-focus,Elodie Marchand: the story so far,2024-03-12 07:22:44,1035,57402.0,2430.0,192.0,49.6,4.57,8186.0,2024.0,United Kingdom,4.0,2.0,6.0,8.0,Finished,Race Season
5115,202401.0,-1.0,tech-analysis,How the cars evolved for Silverpine Grand Prix 2024,2024-03-12 13:55:31,885,70925.0,2875.0,239.0,40.3,4.39,7027.0,2024.0,United Kingdom,,,,,,Race Season
5116,202401.0,2.0,driver-focus,Mateo Vidal: the story so far,2024-03-12 15:51:20,1185,38779.0,1680.0,135.0,49.0,4.68,6255.0,2024.0,United Kingdom,2.0,1.0,1.0,25.0,Finished,Race Season
5117,202401.0,21.0,driver-focus,Casper Holm: the story so far,2024-03-12 19:39:51,945,90466.0,3894.0,182.0,54.0,4.51,12824.0,2024.0,United Kingdom,,,,,,Race Season
5118,202402.0,-1.0,qualifying-report,Costa Azul Grand Prix 2024 qualifying report,2024-03-23 08:26:46,630,52527.0,2284.0,190.0,46.5,4.71,4274.0,2024.0,Spain,,,,,,Race Season
5119,202402.0,-1.0,race-recap,Costa Azul Grand Prix 2024 race highlights and analysis,2024-03-24 18:01:01,480,113564.0,4848.0,401.0,47.7,4.62,7223.0,2024.0,Spain,,,,,,Race Season
5120,202402.0,8.0,driver-focus,Rhys Duffy: the story so far,2024-03-26 02:27:55,1470,49966.0,1965.0,211.0,45.7,4.35,9324.0,2024.0,Spain,8.0,4.0,9.0,2.0,Finished,Race Season
5121,202402.0,4.0,driver-focus,Elodie Marchand: the story so far,2024-03-26 11:39:02,1305,70893.0,3048.0,264.0,46.9,4.67,12053.0,2024.0,Spain,4.0,2.0,6.0,8.0,Finished,Race Season
5122,202403.0,-1.0,qualifying-report,Sakura Grand Prix 2024 qualifying report,2024-04-04 16:37:19,1395,36628.0,1999.0,64.0,50.8,5.63,7210.0,2024.0,Japan,,,,,,Race Season
5123,202403.0,-1.0,race-recap,Sakura Grand Prix 2024 race highlights and analysis,2024-04-05 21:49:42,630,98966.0,4585.0,415.0,48.9,5.05,8469.0,2024.0,Japan,,,,,,Race Season
5124,202403.0,2.0,driver-focus,Mateo Vidal: the story so far,2024-04-07 14:00:08,525,46204.0,1749.0,213.0,48.5,4.25,3268.0,2024.0,Japan,2.0,1.0,3.0,15.0,Finished,Race Season
5125,202403.0,6.0,driver-focus,Willem Lindqvist: the story so far,2024-04-08 17:31:13,1485,58908.0,2538.0,161.0,44.6,4.58,10838.0,2024.0,Japan,6.0,3.0,13.0,0.0,Finished,Race Season
5126,202404.0,-1.0,qualifying-report,Redstone Grand Prix 2024 qualifying report,2024-04-18 12:35:54,915,58983.0,3023.0,252.0,45.5,5.55,6821.0,2024.0,United States,,,,,,Race Season
5127,202404.0,2.0,driver-focus,Mateo Vidal: the story so far,2024-04-20 01:22:57,840,63827.0,2284.0,210.0,43.2,3.91,6434.0,2024.0,United States,2.0,1.0,5.0,10.0,Finished,Race Season
5128,202404.0,-1.0,race-recap,Redstone Grand Prix 2024 race highlights and analysis,2024-04-20 14:08:39,480,151172.0,6801.0,706.0,49.4,4.97,9957.0,2024.0,United States,,,,,,Race Season
5129,202404.0,2.0,driver-focus,Mateo Vidal: the story so far,2024-04-20 19:16:19,1035,62687.0,2783.0,110.0,49.1,4.61,8849.0,2024.0,United States,2.0,1.0,5.0,10.0,Finished,Race Season
5130,202405.0,-1.0,qualifying-report,Lago Bianco Grand Prix 2024 qualifying report,2024-04-30 19:23:27,1395,55560.0,2184.0,182.0,47.2,4.26,10162.0,2024.0,Italy,,,,,,Race Season
5131,202405.0,-1.0,race-recap,Lago Bianco Grand Prix 2024 race highlights and analysis,2024-05-02 09:32:37,825,120514.0,4311.0,475.0,47.0,3.97,12980.0,2024.0,Italy,,,,,,Race Season
5132,202405.0,1.0,driver-focus,Kasper Renn: the story so far,2024-05-03 11:08:37,675,80407.0,3312.0,76.0,51.8,4.21,7810.0,2024.0,Italy,1.0,1.0,1.0,25.0,Finished,Race Season
5133,202405.0,4.0,driver-focus,Elodie Marchand: the story so far,2024-05-04 07:08:28,900,65040.0,2179.0,288.0,48.3,3.79,7854.0,2024.0,Italy,4.0,2.0,6.0,8.0,Finished,Race Season
5134,202405.0,-1.0,tech-analysis,How the cars evolved for Lago Bianco Grand Prix 2024,2024-05-04 09:38:09,660,27883.0,1135.0,129.0,54.4,4.53,2781.0,2024.0,Italy,,,,,,Race Season
